Entitlement_Type,Calendar_Year,Total Original Medicare Part A Enrollees,Total Persons With Utilization,Total Discharges,"Discharges Per 1,000 Original Medicare Part A Enrollees","Discharges Per 1,000 Persons With Utilization",Total Days of Care,"Total Days of Care Per 1,000 Original Medicare Part A Enrollees",Total Days of Care Per Person With Utilization,Total Days of Care Per Discharge,Covered Days of Care,"Covered Days of Care Per 1,000 Original Medicare Part A Enrollees",Covered Days of Care Per Person With Utilization,Covered Days of Care Per Discharge,Total Program Payments,Program Payments Per Original Medicare Part A Enrollee,Program Payments Per Person With Utilization,Program Payments Per Discharge,Program Payments Per Covered Day,Persons With Coinsurance¹,Total Coinsurance Days,Coinsurance Days Per Person With Coinsurance¹,Total Coinsurance Payments,Coinsurance Payments Per Person With Coinsurance¹,Total Deductible Payments,Total Lifetime Reserve Days,Persons with Lifetime Reserve Days²,Discharged Dead
Aged Beneficiaries,2017,32152054,5446975,8775001,273,1611,48729117,1516,8.95,5.55,46740324,1454,8.58,5.33,107801223686,3353,19791,12285,2306,60594,1002652,16.55,624205511,10301,7955071155,448758,16891,298072
Aged Beneficiaries,2018,32432292.08333834,5356582,8636082,266.2803473096702,1612.237430510725,47879924,1476.304045269674,8.938521616956484,5.544171998366852,45821352,1412.831133928401,8.554214609241491,5.305803256615674,109856829437.4998,3387.266899151335,20508.75529162064,12720.67928923091,2397.503012078296,59082,981265,16.60852713178295,624429594.1600001,10568.86351443756,7930113031.400002,442753,16501,289418
Aged Beneficiaries,2019,32727644.9166733,5243431,8467202,258.717118862602,1614.82090638744,46756553,1428.656205450933,8.917167595034625,5.522078367800839,44708552,1366.079108772747,8.526583452704918,5.28020377924136,112149704198.2602,3426.757546526816,21388.61066318223,13245.19058341353,2508.462009645498,58520,974861,16.65859535201641,631945314,10798.79210526316,7890836846.960002,440428,16507,273287
Aged Beneficiaries,2020,32441736.00000964,4549931,7151320,220.4357991199322,1571.742516534866,42190300,1300.494523473943,9.272734026076439,5.89965209220116,40356047,1243.954608347346,8.869595385072872,5.643160563364526,106261760950.96,3275.464696184212,23354.58734450259,14859.04154071696,2633.106283946988,53873,890475,16.52915189426986,594215002.8000001,11029.92227646502,6901919036.140008,400750,14979,331497
Aged Beneficiaries,2021,31589386.00001843,4411598,6951448,220.0564455414215,1575.721087914175,42137380,1333.909434009747,9.55150038602792,6.061669453615995,40235673,1273.708612126127,9.120430510667562,5.788099544152527,109161006933.1601,3455.622940347634,24744.09656844528,15703.34798349352,2713.040413991834,53123,887695,16.71018203038232,617709449.04,11627.90973853133,7058695620.11,391141,14570,331242
Aged Beneficiaries,2022,31002503.00002617,4298931,6839324,220.6055427200257,1590.935979200411,41350669,1333.784856015177,9.618825936029213,6.046016974777039,39401479,1270.912835649649,9.165413215517997,5.761019510115327,108340004260.8008,3494.556689848858,25201.61506681562,15840.74745702949,2749.643084738031,54570,925875,16.96673996701484,685114462.31,12554.78215704599,7227357343.519997,420183,15382,285459
Aged Beneficiaries,2023,30526238.5000322,4261800,6885679,225.5659176610553,1615.673893659956,40093726,1313.418487507319,9.407697686423576,5.822770129133234,38113812,1248.559071565918,8.94312543995495,5.535229278042151,109585945367.7103,3589.893506453301,25713.53544692626,15915.05287535337,2875.22920477517,51623,857797,16.61656625922554,652119247.94,12632.33922747613,7389772290.370003,388016,14330,240573
All Beneficiaries,2017,38347556,6608549,11043946,288,1671,64561447,1684,9.77,5.85,60472778,1577,9.15,5.48,135273922768,3528,20470,12249,2237,97580,1670386,17.12,1068196031,10947,9749543777,791037,29419,340392
All Beneficiaries,2018,38351611.5833391,6459625,10791977,281.3956586035176,1670.681657216944,63038307,1643.693821393034,9.75881835245854,5.841219546705854,58885507,1535.411539930732,9.115932736033438,5.456415168416315,136996048230.5598,3572.106687951396,21208.04972897959,12694.2494624071,2326.481594708182,94142,1612438,17.12772195194493,1057438882.24,11232.38174502348,9656904210.810007,774647,28506,330416
All Beneficiaries,2019,38258362.66667383,6264062,10474904,273.7938393041712,1672.222273662042,60970844,1593.660568571864,9.733435588600496,5.820658976922366,56897653,1487.195191694978,9.08318803357949,5.431806630399667,138525221246.5093,3620.782793383265,22114.28003849727,13224.48599495607,2434.638582482643,91945,1581077,17.19589972266029,1055554352.45,11480.28008537713,9513970791.10999,759409,28135,311529
